,strategy,factor,CAGR,daily_sharpe,max_drawdown,avg_drawdown,win_ratio,ytd,MA,std
0,p_20_0_1_v_5_0_4,居家生活&p_ic,0.024173875281541246,84.35,-0.3887480318948685,-0.21756701735982842,0.5,0.0,20,0.4
1,p_20_0_1_v_5_0_5,居家生活&p_ic,0.014333511885664896,106.25,-0.38874803189486895,-0.22059342761157602,0.47619047619047616,0.0,20,0.5
2,p_20_0_1_v_5_0_6,居家生活&p_ic,0.014333511885664896,106.25,-0.38874803189486895,-0.22059342761157602,0.47619047619047616,0.0,20,0.6
3,p_20_0_1_v_5_0_7,居家生活&p_ic,0.014333511885664896,106.25,-0.38874803189486895,-0.22059342761157602,0.47619047619047616,0.0,20,0.7
4,p_20_0_1_v_5_0_8,居家生活&p_ic,0.020431445542206106,93.49,-0.38874803189486795,-0.22914298002533615,0.5,0.0,20,0.8
5,p_40_0_1_v_5_0_4,居家生活&p_ic,0.05929251141867686,50.13,-0.26554614957132816,-0.13426385186527984,0.5111111111111111,0.0,40,0.4
6,p_40_0_1_v_5_0_5,居家生活&p_ic,0.05561089868267288,52.16,-0.26554614957132816,-0.13815379162616712,0.5,0.0,40,0.5
7,p_40_0_1_v_5_0_6,居家生活&p_ic,0.05561089868267288,52.16,-0.26554614957132816,-0.13815379162616712,0.5,0.0,40,0.6
8,p_40_0_1_v_5_0_7,居家生活&p_ic,0.05561089868267288,52.16,-0.26554614957132816,-0.13815379162616712,0.5,0.0,40,0.7
9,p_40_0_1_v_5_0_8,居家生活&p_ic,0.06195698224578239,49.64,-0.35125768128587964,-0.14670334403992755,0.5217391304347826,0.0,40,0.8
10,p_60_0_1_v_5_0_4,居家生活&p_ic,0.04908997828103234,66.28,-0.35125768128587964,-0.1261689714915476,0.575,0.0,60,0.4
11,p_60_0_1_v_5_0_5,居家生活&p_ic,0.04908997828103234,66.28,-0.35125768128587964,-0.1261689714915476,0.575,0.0,60,0.5
12,p_60_0_1_v_5_0_6,居家生活&p_ic,0.04854541010807911,66.89,-0.35125768128587964,-0.1283689244563933,0.5609756097560976,0.0,60,0.6
13,p_60_0_1_v_5_0_7,居家生活&p_ic,0.04854541010807911,66.89,-0.35125768128587964,-0.1283689244563933,0.5609756097560976,0.0,60,0.7
14,p_60_0_1_v_5_0_8,居家生活&p_ic,0.04854541010807911,66.89,-0.35125768128587964,-0.1283689244563933,0.5609756097560976,0.0,60,0.8
15,p_80_0_1_v_5_0_4,居家生活&p_ic,0.07701010592258872,40.6,-0.35125768128587964,-0.1343422764945294,0.575,0.0,80,0.4
16,p_80_0_1_v_5_0_5,居家生活&p_ic,0.07701010592258872,40.6,-0.35125768128587964,-0.1343422764945294,0.575,0.0,80,0.5
17,p_80_0_1_v_5_0_6,居家生活&p_ic,0.07645104479553866,40.92,-0.35125768128587964,-0.13646672141295804,0.5609756097560976,0.0,80,0.6
18,p_80_0_1_v_5_0_7,居家生活&p_ic,0.07645104479553866,40.92,-0.35125768128587964,-0.13646672141295804,0.5609756097560976,0.0,80,0.7
19,p_80_0_1_v_5_0_8,居家生活&p_ic,0.0751289868755094,41.32,-0.35125768128587964,-0.13929249823219036,0.5681818181818182,0.0,80,0.8
20,p_100_0_1_v_5_0_4,居家生活&p_ic,0.05339972422845629,51.84,-0.3512576812858793,-0.1397780423733298,0.5405405405405406,0.0,100,0.4
21,p_100_0_1_v_5_0_5,居家生活&p_ic,0.06592014469669483,45.97,-0.3512576812858793,-0.1316362898124207,0.5526315789473685,0.0,100,0.5
22,p_100_0_1_v_5_0_6,居家生活&p_ic,0.06592014469669483,45.97,-0.3512576812858793,-0.1316362898124207,0.5526315789473685,0.0,100,0.6
23,p_100_0_1_v_5_0_7,居家生活&p_ic,0.06082235066856034,49.65,-0.3512576812858793,-0.1402500594454549,0.5384615384615384,0.0,100,0.7
24,p_100_0_1_v_5_0_8,居家生活&p_ic,0.06265559199780402,49.42,-0.35125768128587964,-0.14211382248382698,0.5581395348837209,0.0,100,0.8
25,p_20_0_1_v_5_0_4,建材營造&pb,0.04862153411258574,78.32,-0.3979204050023407,-0.06620431850356157,0.5481171548117155,0.0,20,0.4
26,p_20_0_1_v_5_0_5,建材營造&pb,0.04896634395766064,77.03,-0.3979204050023407,-0.06716639069346277,0.5368852459016393,0.0,20,0.5
27,p_20_0_1_v_5_0_6,建材營造&pb,0.04896634395766064,77.03,-0.3979204050023407,-0.06716639069346277,0.5368852459016393,0.0,20,0.6
28,p_20_0_1_v_5_0_7,建材營造&pb,0.04896634395766064,77.03,-0.3979204050023407,-0.06716639069346277,0.5368852459016393,0.0,20,0.7
29,p_20_0_1_v_5_0_8,建材營造&pb,0.04893417369918773,77.04,-0.3979204050023407,-0.06771224664982374,0.5397489539748954,0.0,20,0.8
30,p_40_0_1_v_5_0_4,建材營造&pb,0.04358558206609797,83.13,-0.3979204050023405,-0.06409674320481429,0.5284552845528455,0.0,40,0.4
31,p_40_0_1_v_5_0_5,建材營造&pb,0.042278846965301486,85.82,-0.3979204050023405,-0.06680771015233673,0.52,0.0,40,0.5
32,p_40_0_1_v_5_0_6,建材營造&pb,0.042278846965301486,85.82,-0.3979204050023405,-0.06680771015233673,0.52,0.0,40,0.6
33,p_40_0_1_v_5_0_7,建材營造&pb,0.041470924594740444,87.61,-0.3979204050023405,-0.06714094490359473,0.5180722891566265,0.0,40,0.7
34,p_40_0_1_v_5_0_8,建材營造&pb,0.04469676356351404,87.56,-0.39792040500234094,-0.06752138781155768,0.525691699604743,0.0,40,0.8
35,p_60_0_1_v_5_0_4,建材營造&pb,0.046200020568552214,79.89,-0.3812451863608315,-0.05858290292241975,0.5349794238683128,0.0,60,0.4
36,p_60_0_1_v_5_0_5,建材營造&pb,0.04330078603461884,85.36,-0.3912623080237525,-0.06337539059115867,0.5303643724696356,0.0,60,0.5
37,p_60_0_1_v_5_0_6,建材營造&pb,0.04330078603461884,85.36,-0.3912623080237525,-0.06337539059115867,0.5303643724696356,0.0,60,0.6
38,p_60_0_1_v_5_0_7,建材營造&pb,0.041284624183898444,87.16,-0.39126230802375217,-0.06351031333308489,0.5224489795918368,0.0,60,0.7
